Date,Open,High,Low,Close,Volume,twitter_sentiment,news_sentiment
2012-07-09,6.188,6.88,6.134,6.85,23690000,0.1536999999999999,0.363175
2012-07-16,6.864,7.2,6.212,6.358,50998000,0.902,0.363175
2012-07-23,6.21,6.26,5.528,5.902,48323000,-0.050135714285714256,0.363175
2012-07-30,5.902,6.05,5.104,5.454,38736000,0.5050166666666668,0.0
2012-08-06,5.51,6.18,5.51,5.988,33021500,-0.6908000000000001,0.6808
2012-08-13,5.938,6.26,5.762,6.002,16830500,-0.6908000000000001,0.25
2012-08-20,6.03,6.17,5.8,5.9,28083000,0.8043000000000001,0.25
2012-08-27,5.914,5.94,5.6,5.704,23941000,0.3920833333333333,0.4049375
2012-09-03,5.704,5.914,5.562,5.87,15933500,0.0,0.12315000000000001
2012-09-10,5.84,6.13,5.46,6.078,33323500,0.4060999999999999,0.0
2012-09-17,6.47,6.556,5.908,6.004,44161000,0.28485,0.4031
2012-09-24,5.902,6.206,5.496,5.856,73057500,0.39864999999999995,0.16932916666666667
2012-10-01,5.9,6.02,5.73,5.778,25730500,-0.0353,0.06867
2012-10-08,5.772,5.88,5.5,5.528,20122500,0.0,0.09000624999999998
2012-10-15,5.604,5.798,5.372,5.548,21922000,0.0,0.0
2012-10-22,5.598,5.712,5.404,5.476,16453500,0.0,0.09545
2012-10-29,5.54,5.91,5.474,5.784,14148000,0.2463,0.43905
2012-11-05,5.96,6.41,5.866,6.064,41122000,0.2463,0.43905
2012-11-12,6.058,6.424,6.032,6.368,21591000,0.5944833333333334,0.22815
2012-11-19,6.414,6.694,6.34,6.426,18542000,0.30726,-0.2263
2012-11-26,6.42,6.858,6.304,6.764,27277500,0.4059333333333333,0.19628333333333334
2012-12-03,6.778,7.0,6.7,6.834,26676500,0.6008,-0.5574
2012-12-10,6.886,7.16,6.55,6.762,38702500,0.23324666666666663,0.4136
2012-12-17,6.754,7.052,6.716,6.8,30456000,0.7149250000000003,0.19046666666666665
2012-12-24,6.728,6.9,6.6,6.644,9762000,-0.074,-0.3243
2012-12-31,6.6,7.09,6.6,6.88,16028500,0.41825,0.2732
2013-01-07,6.96,6.96,6.422,6.582,24548500,0.32095,0.2732
2013-01-14,6.616,6.97,6.57,6.904,44596500,0.61185,0.2732
2013-01-21,6.912,7.544,6.852,7.396,33713500,0.0,0.2732
2013-01-28,7.372,7.742,7.372,7.66,31913500,0.0,-0.01185
2013-02-04,7.68,8.0,7.518,7.848,33339000,0.02803333333333334,-0.01185
2013-02-11,7.596,7.83,7.39,7.408,47513500,0.18977222222222223,-0.10663
2013-02-18,7.472,7.93,6.908,7.222,87042500,0.6597,0.18258333333333332
2013-02-25,7.23,7.35,6.76,6.93,55615000,0.3513866666666667,0.2732
2013-03-04,6.954,7.888,6.94,7.694,35325500,0.28451666666666675,0.0
2013-03-11,7.774,7.898,7.042,7.058,44886000,0.34441666666666665,0.0
2013-03-18,7.06,7.412,6.984,7.324,27120500,0.34441666666666665,0.7007000000000001
2013-03-25,7.42,7.704,7.354,7.578,33210000,0.0627416666666667,0.4215
2013-04-01,8.472,9.336,8.042,8.274,151058500,0.43392500000000006,-0.09357333333333333
2013-04-08,8.394,9.028,8.066,8.75,60465000,0.26532361111111114,-0.069325
2013-04-15,8.7,9.976,8.502,9.566,66799500,0.40845,0.07761666666666667
2013-04-22,9.72,10.748,9.55,10.24,83606000,0.24608666666666662,0.07761666666666667
2013-04-29,10.352,11.636,10.24,10.91,91671000,0.24752346153846153,0.3423333333333334
2013-05-06,11.278,16.200001,11.024,15.352,374076000,0.29557291666666663,0.15705
2013-05-13,16.198,19.424,15.622,18.299999,585378500,0.21228333333333335,0.04865
2013-05-20,18.224001,19.59,16.610001,19.416,270305000,-0.006545833333333306,0.07479999999999999
2013-05-27,20.309999,22.98,19.546,19.552,380485500,0.1591,0.030333333333333323
2013-06-03,19.524,20.58,17.65,20.408001,302215000,-0.03336666666666666,0.10640000000000002
2013-06-10,19.785999,20.504,18.809999,20.059999,191708000,-0.0037249999999999506,0.2732
2013-06-17,20.719999,21.426001,19.5,19.91,231327500,-0.0724,-0.43274999999999997
2013-06-24,19.299999,22.049999,19.059999,21.472,170323000,0.2031111111111111,-0.148
2013-07-01,21.872,24.378,21.83,24.018,172965500,0.795,-0.41125
2013-07-08,24.274,25.988001,23.764,25.98,204226000,0.39975,-0.18422500000000003
2013-07-15,26.606001,26.652,20.9,23.936001,428058500,0.15888,0.0
2013-07-22,23.978001,26.136,23.912001,25.878,196603000,0.2523000000000001,0.5181
2013-07-29,25.864,27.65,25.636,27.6,203755500,-0.296,0.0
2013-08-05,28.002001,31.775999,26.472,30.6,369209500,0.0,0.1739533333333333
2013-08-12,29.886,30.1,27.0,28.4,263211000,0.031022222222222232,0.14432222222222224
2013-08-19,28.686001,32.459999,28.566,32.368,221232500,0.620625,0.19943333333333332
2013-08-26,33.029999,34.599998,32.049999,33.799999,384712500,-0.031016666666666637,-0.21075
2013-09-02,34.68,34.740002,33.029999,33.394001,194209000,-0.031016666666666637,0.077925
2013-09-09,32.624001,33.580002,31.702,33.108002,203530000,-0.23019999999999996,0.296425
2013-09-16,33.599998,37.166,32.672001,36.678001,237539000,0.2681888888888888,0.19768333333333335
2013-09-23,36.896,38.256001,35.422001,38.18,176151500,0.18853333333333336,0.0
2013-09-30,37.799999,38.900002,33.599998,36.195999,378432500,-0.3399999999999999,0.11870416666666665
2013-10-07,36.492001,37.346001,32.299999,35.740002,288771500,0.5562,-0.148
2013-10-14,35.0,37.757999,34.830002,36.68,197946500,0.5562,0.287875
2013-10-21,36.655998,36.678001,32.029999,33.931999,273302000,0.5562,0.2202
2013-10-28,34.035999,34.099998,30.6,32.433998,234348000,0.5562,-0.15045999999999995
2013-11-04,33.0,36.285999,26.464001,27.59,557109000,-0.22019999999999995,-0.33548333333333336
2013-11-11,28.200001,29.084,26.822001,27.09,318725000,-0.22019999999999995,0.300875
2013-11-18,27.054001,27.09,23.586,24.275999,399022500,0.070025,-0.072625
2013-11-25,24.9,26.118,23.219999,25.455999,231183000,0.37150000000000005,0.3811
2013-12-02,25.27,28.988001,24.785999,27.472,318896500,0.13429583333333334,0.11333333333333334
2013-12-09,27.4,30.360001,26.841999,29.530001,241536000,-0.6114,-0.148
2013-12-16,29.695999,30.98,27.82,28.648001,244524000,0.0,0.4215
2013-12-23,28.969999,31.6,28.52,30.224001,139583500,0.5256,0.22738750000000002
2013-12-30,30.224001,30.962,29.309999,29.912001,98066500,0.09132499999999996,-0.27115
2014-01-06,30.0,30.74,28.450001,29.143999,146932500,0.09132499999999996,-0.3182
2014-01-13,29.156,34.639999,27.334,34.001999,377771500,0.0,0.19451666666666667
2014-01-20,34.248001,36.476002,34.161999,34.919998,161445000,0.0,-0.22845000000000001
2014-01-27,35.032001,37.200001,32.942001,36.282001,179095500,0.4389,0.125
2014-02-03,36.577999,37.326,33.872002,37.306,167446500,0.5106,-0.24230000000000002
2014-02-10,37.868,40.543999,37.863998,39.646,215208000,0.26755,-0.1351
2014-02-17,41.048,43.042,38.681999,41.919998,256614500,0.11009999999999995,0.08774166666666666
2014-02-24,41.751999,53.0,41.664001,48.962002,490501500,0.11009999999999995,0.12351583333333332
2014-03-03,47.452,52.0,46.998001,49.242001,214720000,0.59305,0.28040000000000004
2014-03-10,48.540001,49.5,45.664001,46.194,204093000,0.4360611111111112,0.14093
2014-03-17,46.990002,48.310001,45.5,45.778,146305000,-0.24235000000000007,0.28631875
2014-03-24,45.950001,45.98,40.599998,42.473999,226410000,0.0,0.023625
2014-03-31,43.299999,47.146,41.278,42.445999,244015000,-0.03739999999999995,0.5727
2014-04-07,41.161999,43.689999,39.720001,40.756001,190907000,0.1229738095238095,0.1800041666666667
2014-04-14,41.52,41.688,36.863998,39.624001,172456500,0.5859,0.2564666666666667
2014-04-21,39.416,43.866001,38.799999,39.970001,174252000,0.32985,0.11736250000000001
2014-04-28,40.0,42.804001,38.099998,42.181999,133942000,0.0247,-0.390775
2014-05-05,41.896,43.731998,35.444,36.452,247574000,-0.1531,0.026650000000000007
2014-05-12,36.773998,38.695999,35.976002,38.312,150171500,0.3753,0.08474999999999999
2014-05-19,38.144001,41.551998,38.0,41.459999,128122500,0.49689999999999995,-0.2566125
2014-05-26,41.703999,42.959999,41.051998,41.554001,100549000,0.1798,-0.09150000000000003
2014-06-02,41.466,42.161999,40.080002,41.633999,95423500,-0.5499,0.1970125
2014-06-09,41.59,41.998001,39.849998,41.284,99179500,0.31220000000000003,0.036862500000000006
2014-06-16,41.352001,47.108002,41.251999,45.917999,235942500,0.2618666666666666,0.10615000000000001
2014-06-23,45.902,48.375999,45.644001,47.812,162125000,0.2023,0.38665
2014-06-30,47.91,48.897999,44.799999,45.849998,111794000,0.2023,-0.046250000000000006
2014-07-07,45.5,45.956001,42.854,43.625999,130057500,0.0889499999999999,-0.046250000000000006
2014-07-14,43.998001,45.757999,42.720001,44.004002,129346500,0.1328666666666667,0.2997
2014-07-21,43.450001,45.394001,43.344002,44.714001,79840500,0.0,0.07050000000000001
2014-07-28,44.849998,47.5,44.208,46.653999,172347000,0.227525,-0.15835
2014-08-04,46.875999,51.338001,46.653999,49.625999,165833000,0.227525,0.03253333333333334
2014-08-11,51.096001,53.127998,50.916,52.402,147053500,0.2250333333333333,0.10235
2014-08-18,52.650002,53.452,50.324001,51.355999,99804500,0.0,-0.188575
2014-08-25,51.638,54.400002,51.638,53.939999,102066000,0.195675,-0.188575
2014-09-01,55.099998,58.284,54.501999,55.478001,180681500,0.1532625,0.04096666666666666
2014-09-08,55.523998,57.098,54.731998,55.84,104662000,0.1532625,-0.1219
2014-09-15,54.874001,54.880001,49.826,51.863998,202183500,0.5881333333333333,0.40545000000000003
2014-09-22,51.0,51.203999,48.942001,49.32,131259500,0.26122500000000004,0.0
2014-09-29,48.799999,51.299999,47.130001,51.042,147186000,0.26122500000000004,0.0
2014-10-06,51.826,53.108002,47.040001,47.382,187517500,0.0,-0.061316666666666665
